:START_ID,has,:TYPE,:END_ID
c10319,has,HAS,M527
c10319,has,HAS,M528
c10319,has,HAS,M529
c10319,has,HAS,M530
c10319,has,HAS,M531
c10319,has,HAS,M102
c10319,has,HAS,M144
c10319,has,HAS,M532
c10319,has,HAS,M533
c10319,has,HAS,M534
c10319,has,HAS,M535
c10319,has,HAS,M151
c10319,has,HAS,M415
c10319,has,HAS,M536
c10319,has,HAS,M537
c10319,has,HAS,M538
c10319,has,HAS,M539
c10319,has,HAS,M112
c10319,has,HAS,M540
c10319,has,HAS,M541
c10319,has,HAS,M542
c10319,has,HAS,M543
c10319,has,HAS,M544
c10319,has,HAS,M545
c10319,has,HAS,M546
c10319,has,HAS,M547
c10319,has,HAS,M163
c10319,has,HAS,M443
c10319,has,HAS,M276
c10319,has,HAS,M548
c10319,has,HAS,M549
c10319,has,HAS,M550
c10319,has,HAS,M551
c10319,has,HAS,M552
c10319,has,HAS,M553
c10319,has,HAS,M554
c10319,has,HAS,M555
c10319,has,HAS,M84
c10319,has,HAS,M556
c10319,has,HAS,M557
c10319,has,HAS,M143
c10319,has,HAS,M558
c10319,has,HAS,M378
c10319,has,HAS,M422
c10319,has,HAS,M559
c10319,has,HAS,M560
c10319,has,HAS,M561
c10319,has,HAS,M261
c10319,has,HAS,M562
c10319,has,HAS,M563
c10319,has,HAS,M131
c10009,has,HAS,M549
c10009,has,HAS,M550
c10009,has,HAS,M551
c10009,has,HAS,M552
c10009,has,HAS,M553
c10009,has,HAS,M554
c10009,has,HAS,M555
c10009,has,HAS,M84
c10009,has,HAS,M557
c10009,has,HAS,M519
c10009,has,HAS,M378
c10009,has,HAS,M422
c10009,has,HAS,M38
c10009,has,HAS,M156
c10009,has,HAS,M561
c10009,has,HAS,M261
c10009,has,HAS,M160
c10009,has,HAS,M563
c10009,has,HAS,M102
c10009,has,HAS,M264
c10009,has,HAS,M532
c10009,has,HAS,M515
c10009,has,HAS,M534
c10009,has,HAS,M151
c10009,has,HAS,M415
c10009,has,HAS,M537
c10009,has,HAS,M538
c10009,has,HAS,M539
c10009,has,HAS,M540
c10009,has,HAS,M542
c10009,has,HAS,M545
c10009,has,HAS,M547
c10009,has,HAS,M443
c10009,has,HAS,M3
c10009,has,HAS,M143
c10009,has,HAS,M425
