,0,1,2
522,10183,动物科学 国家专项,D
523,10184,法学,D
524,10184,工商管理类（工商管理、会计学、市场营销）,A
525,10184,工商管理类（工商管理、会计学、市场营销）,D
526,10184,临床医学,D
527,10184,经济学,D
528,10184,国际经济与贸易,A
529,10184,国际经济与贸易,D
530,10184,汉语言文学,D
531,10184,日语(零起点),D
532,10184,朝鲜语,B
533,10184,朝鲜语,D
534,10184,历史学,D
535,10184,数字媒体技术,D
536,10184,工商管理类（工商管理、会计学、市场营销）,B
537,10184,工商管理类（工商管理、会计学、市场营销）,D
538,10184,中医学,D
539,10184,数学与应用数学,D
540,10184,机械设计制造及其自动化,B
541,10184,机械设计制造及其自动化,D
542,10184,电子信息类（电子信息工程、通信工程）,D
543,10184,食品科学与工程,D
544,10184,物理学,B
545,10184,物理学,D
546,10184,化学类（化学、应用化学）,D
547,10184,地理科学类（地理科学、地理信息科学）,D
548,10184,统计学,C
549,10184,土木工程,D
550,10184,化学工程与工艺,D
551,10184,药学类（药学、药物制剂）,C
552,10216,法学,D
553,10216,翻译,A
554,10216,翻译,D
555,10216,汉语言文学,D
556,10216,英语,D
557,10216,行政管理,A
558,10216,行政管理,D
559,10216,广播电视学,D
560,10216,日语,D
561,10216,德语,B
562,10216,德语,D
563,10216,法语,D
564,10216,国际政治,D
565,10216,旅游管理,B
566,10216,旅游管理,D
567,10216,政治学与行政学,D
568,10216,机械设计制造及其自动化（卓越计划）,D
569,10216,自动化（卓越计划）,B
570,10216,自动化（卓越计划）,D
571,10216,会计学,D
572,10216,电子信息工程（卓越计划）,D
573,10216,自动化,B
574,10216,自动化,D
575,10216,车辆工程（卓越计划）,D
576,10216,电气工程及其自动化,D
577,10216,机械设计制造及其自动化,C
578,10216,经济学,D
579,10216,计算机科学与技术,D
580,10216,能源与动力工程,C
581,10216,车辆工程,D
582,10216,电子信息工程,D
583,10216,工商管理,C
584,10216,光电信息科学与工程,D
585,10216,国际经济与贸易,D
586,10216,过程装备与控制工程,C
587,10216,建筑学,D
588,10216,金属材料工程,D
589,10216,软件工程,C
590,10216,通信工程,D
591,10216,材料成型及控制工程,D
592,10216,电子信息科学与技术,D
593,10216,高分子材料与工程,D
594,10216,工程力学,D
595,10216,工业设计,D
596,10216,环境工程,D
597,10216,统计学,D
598,10216,土木工程,D
599,10216,信息与计算科学,D
600,10216,应用化学,D
601,10216,材料物理,D
602,10216,电子科学与技术,D
603,10216,电子商务,D
604,10216,行政管理,D
605,10216,建筑环境与能源应用工程,D
606,10216,能源化学工程,D
607,10216,生物工程（卓越计划）,D
608,10216,生物医学工程,D
609,10216,应用物理学,D
610,10216,工业工程,D
611,10216,公共事业管理,D
612,10216,化学工程与工艺,D
613,10216,日语,D
614,10216,生物工程,D
615,10216,石油工程,D
616,10216,无机非金属材料工程,D
617,10216,英语,D
618,10216,测控技术与仪器,D
619,10216,旅游管理,D
620,10224,汉语国际教育,D
621,10224,法学类（法学）,A
622,10224,法学类（法学）,D
623,10224,工商管理类（管理学Ⅱ）,D
624,10224,行政管理,D
625,10224,英语,A
626,10224,英语,D
627,10224,计算机类,D
628,10224,电气类（工学Ⅲ）,D
629,10224,金融学类（经济学）,B
630,10224,金融学类（经济学）,D
631,10224,能源动力类（工学Ⅱ）,D
632,10224,机械类（工学Ⅰ）,D
633,10224,应用化学,B
634,10224,应用化学,D
635,10224,土木工程,D
636,10224,生物工程类（工学Ⅳ）,D
637,10224,化学生物学,B
638,10224,化学生物学,D
639,10224,食品科学与工程类,D
640,10224,统计学类（理学）,D
641,10224,水利类（工学Ⅴ）,B
642,10224,水利类（工学Ⅴ）,D
643,10224,人文地理与城乡规划,D
644,10224,工业工程类（管理学Ⅰ）,D
645,10224,动物医学,C
646,10224,环境科学与工程类,D
647,10224,园林,D
648,10224,土地资源管理,C
649,10224,工程管理,D
650,10224,植物生产类（Ⅱ）,D
651,10224,生态学,C
652,10224,自然保护与环境生态类（农学）,D
653,10224,应用气象学,D
654,10224,动物药学,C
655,10224,植物生产类（Ⅰ）,D
656,10224,动物科学,D
657,10224,视觉传达设计,C
658,10224,环境设计,D
659,10224,环境设计,D
660,10224,视觉传达设计,D
661,10225,英语,D
662,10225,经济学类,A
663,10225,经济学类,D
664,10225,工商管理类,D
665,10225,法学,D
666,10225,社会工作,A
667,10225,社会工作,D
668,10225,广告学,D
669,10225,政治学与行政学,D
670,10225,风景园林,B
671,10225,风景园林,D
672,10225,城乡规划,D
673,10225,经济学类,D
674,10225,园林,B
675,10225,园林,D
676,10225,电气类,D
677,10225,电子信息类,D
678,10225,工商管理类,B
679,10225,工商管理类,D
680,10225,工业设计,D
681,10225,机械类(机电),D
682,10225,土木工程,B
683,10225,土木工程,D
684,10225,英语,D
685,10225,交通运输类,D
686,10225,数学与应用数学,C
687,10225,计算机类,D
688,10225,信息与计算科学,D
689,10225,机械类(车辆),C
690,10225,环境科学,D
691,10225,俄语,D
692,10225,建筑环境与能源应用工程,C
693,10225,物理学,D
694,10225,物流工程,D
695,10225,化学类,C
696,10225,地理信息科学,D
697,10225,食品科学与工程,D
698,10225,动物医学,C
699,10225,野生动物与自然保护区管理,D
700,10225,工程管理,D
701,10225,木材科学与工程,D
702,10225,森林工程,D
703,10225,包装工程,D
704,10225,化学工程与工艺,D
705,10225,工业工程,D
706,10225,日语,D
707,10225,轻化工程,D
708,10225,动物科学,D
709,10247,城乡规划,D
710,10247,建筑学,A
711,10247,建筑学,D
712,10247,风景园林,D
713,10247,工业设计,D
714,10247,工科试验班（电子类）,A
715,10247,工科试验班（电子类）,D
716,10247,工科试验班（交通类）,D
717,10247,车辆工程,D
718,10247,土木工程,B
719,10247,土木工程,D
720,10247,工科试验班（电气类）,D
721,10247,工科试验班（轨道交通）,D
722,10247,软件工程,B
723,10247,软件工程,D
724,10247,社会科学试验班（管理类）,D
725,10247,工程力学,D
726,10247,工科试验班（环境类）,B
727,10247,工科试验班（环境类）,D
728,10247,口腔医学,D
729,10247,理科试验班（数学类）,D
730,10247,临床医学（5+3一体化培养）,B
731,10247,临床医学（5+3一体化培养）,D
732,10247,材料科学与工程,D
733,10247,测绘工程,D
734,10247,飞行器制造工程,C
735,10247,工科试验班（地质与水利工程类）,D
736,10247,工科试验班（机械类）,D
737,10247,工科试验班（能源类）,C
738,10247,理科试验班（海洋类）,D
739,10247,理科试验班（化学类）,D
740,10247,理科试验班（物理类）,C
741,10247,临床医学（贯通培养）,D
742,10247,生物科学类,D
743,10247,人文科学试验班,C
744,10247,法学,D
745,10247,日语,D
746,10247,社会学,C
747,10247,新闻传播学类,D
748,10247,英语,D
749,10247,政治学与行政学,D
750,10248,校本部,D
751,10248,医学院,A
752,10248,医学院,D
753,10248,校本部,D
754,10251,经济学类,D
755,10251,电子信息类,A
756,10251,电子信息类,D
757,10251,计算机类,D
758,10251,物理学类,D
759,10251,工商管理类,A
760,10251,工商管理类,D
761,10251,应用化学（含化学、应用化学、材料化学专业）,D
762,10251,会计学（含会计学、财务管理专业）,D
763,10251,能源与动力工程,B
764,10251,能源与动力工程,D
765,10251,管理科学与工程类,D
766,10251,化工与制药类,D
