:START_ID,need_score,:END_ID,:TYPE
m707,400,y3,NEED_SCORE
m708,381,y3,NEED_SCORE
m709,391,y3,NEED_SCORE
m710,382,y3,NEED_SCORE
m711,392,y3,NEED_SCORE
m712,382,y3,NEED_SCORE
m713,602,y3,NEED_SCORE
m714,682,y3,NEED_SCORE
m715,691,y3,NEED_SCORE
m716,694,y3,NEED_SCORE
m717,689,y3,NEED_SCORE
m718,687,y3,NEED_SCORE
m719,693,y3,NEED_SCORE
m720,692,y3,NEED_SCORE
m721,688,y3,NEED_SCORE
m722,685,y3,NEED_SCORE
m723,687,y3,NEED_SCORE
m724,685,y3,NEED_SCORE
m725,687,y3,NEED_SCORE
m726,688,y3,NEED_SCORE
m727,655,y3,NEED_SCORE
m728,655,y3,NEED_SCORE
m729,617,y3,NEED_SCORE
m730,630,y3,NEED_SCORE
m731,654,y3,NEED_SCORE
m732,642,y3,NEED_SCORE
m733,663,y3,NEED_SCORE
m734,652,y3,NEED_SCORE
m735,658,y3,NEED_SCORE
m736,647,y3,NEED_SCORE
m737,658,y3,NEED_SCORE
m738,647,y3,NEED_SCORE
m739,672,y3,NEED_SCORE
m740,647,y3,NEED_SCORE
m741,667,y3,NEED_SCORE
m742,649,y3,NEED_SCORE
m743,658,y3,NEED_SCORE
m744,658,y3,NEED_SCORE
m745,644,y3,NEED_SCORE
m746,644,y3,NEED_SCORE
m747,657,y3,NEED_SCORE
m748,644,y3,NEED_SCORE
m749,646,y3,NEED_SCORE
m750,667,y3,NEED_SCORE
m751,648,y3,NEED_SCORE
m752,648,y3,NEED_SCORE
m753,633,y3,NEED_SCORE
m754,653,y3,NEED_SCORE
m755,637,y3,NEED_SCORE
m756,638,y3,NEED_SCORE
m757,650,y3,NEED_SCORE
m758,636,y3,NEED_SCORE
m759,645,y3,NEED_SCORE
m760,636,y3,NEED_SCORE
m761,635,y3,NEED_SCORE
m762,619,y3,NEED_SCORE
m763,623,y3,NEED_SCORE
m764,621,y3,NEED_SCORE
m765,627,y3,NEED_SCORE
m766,644,y3,NEED_SCORE
m767,636,y3,NEED_SCORE
m768,655,y3,NEED_SCORE
m769,647,y3,NEED_SCORE
m770,650,y3,NEED_SCORE
m771,638,y3,NEED_SCORE
m772,637,y3,NEED_SCORE
m773,663,y3,NEED_SCORE
m774,645,y3,NEED_SCORE
m775,656,y3,NEED_SCORE
m776,641,y3,NEED_SCORE
m777,648,y3,NEED_SCORE
m778,636,y3,NEED_SCORE
m779,636,y3,NEED_SCORE
m780,648,y3,NEED_SCORE
m781,636,y3,NEED_SCORE
m782,648,y3,NEED_SCORE
m783,636,y3,NEED_SCORE
m784,654,y3,NEED_SCORE
m785,642,y3,NEED_SCORE
m786,607,y3,NEED_SCORE
m787,614,y3,NEED_SCORE
m788,607,y3,NEED_SCORE
m789,655,y3,NEED_SCORE
m790,634,y3,NEED_SCORE
m791,665,y3,NEED_SCORE
m792,642,y3,NEED_SCORE
m793,661,y3,NEED_SCORE
m794,646,y3,NEED_SCORE
m795,662,y3,NEED_SCORE
m796,640,y3,NEED_SCORE
m797,662,y3,NEED_SCORE
m798,640,y3,NEED_SCORE
m799,669,y3,NEED_SCORE
m800,645,y3,NEED_SCORE
m801,667,y3,NEED_SCORE
m802,643,y3,NEED_SCORE
m803,661,y3,NEED_SCORE
m804,661,y3,NEED_SCORE
m805,636,y3,NEED_SCORE
m806,636,y3,NEED_SCORE
m807,660,y3,NEED_SCORE
m808,636,y3,NEED_SCORE
m809,642,y3,NEED_SCORE
m810,640,y3,NEED_SCORE
m811,654,y3,NEED_SCORE
