major (origin),major2 (disambiguated),ID
纺织类,纺织科学与工程,821
纺织类（国家专项计划）,纺织科学与工程,821
环境工程,环境科学与工程,830
环境工程 ,环境科学与工程,830
环境工程#E,环境科学与工程,830
环境工程(专项理）,环境科学与工程,830
环境工程(环境科学与工程类),环境科学与工程,830
环境工程（国家贫困专项）,环境科学与工程,830
环境工程（按环境科学与工程类招生）,环境科学与工程,830
环境工程(按环境科学与工程类培养),环境科学与工程,830
环境工程（按环境科学与工程类培养）,环境科学与工程,830
环境工程（闽台合作项目）,环境科学与工程,830
环境工程(菁英班),环境科学与工程,830
环境生态工程,环境科学与工程,830
环境设计,环境科学与工程,830
环境科学,环境科学与工程,830
环境科学（双语类）,环境科学与工程,830
环境科学（含环境科学专业、环境工程专业、环境生态学）,环境科学与工程,830
环境科学（单列）,环境科学与工程,830
环境科学（单列类）,环境科学与工程,830
环境科学（普通类）,环境科学与工程,830
环境科学与 ?工程类,环境科学与工程,830
环境科学与工程,环境科学与工程,830
环境科学与工程类,环境科学与工程,830
环境科学与工程类 ,环境科学与工程,830
环境科学与工程类(地球科学与环境类),环境科学与工程,830
环境科学与工程类(含环境工程、安全工程专业),环境科学与工程,830
环境科学与工程类(含环境科学、环境工程),环境科学与工程,830
环境科学与工程类（含环境科学专业、环境工程专业、环境生态工程）,环境科学与工程,830
环境科学与工程类（环境工程、环境生态工程）,环境科学与工程,830
环境科学与工程类(环境工程、环境科学),环境科学与工程,830
环境科学与工程类(环境地球科学类),环境科学与工程,830
环境科学与工程类（环境科学、环境工程、环境生态工程）,环境科学与工程,830
环境科学与工程类（国家专项计划）,环境科学与工程,830
表演,艺术学,504
英语,外国语言文学,502
英语 ,外国语言文学,502
英语（121项目）,外国语言文学,502
英语(专项文）,外国语言文学,502
英语(专项理）,外国语言文学,502
英语(中加),外国语言文学,502
英语(中美合作1+2+1),外国语言文学,502
英语（公费师范）,外国语言文学,502
英语（文）,外国语言文学,502
英语（文史）,外国语言文学,502
英语（文科）,外国语言文学,502
英语(双外语),外国语言文学,502
英语（外语要求不低于115分）,外国语言文学,502
英语(汉),外国语言文学,502
英语（汉）,外国语言文学,502
英语（民）,外国语言文学,502
英语(民),外国语言文学,502
英语（民航业务、国际贸易）,外国语言文学,502
英语(师范),外国语言文学,502
英语（师范）,外国语言文学,502
英语（师范类）,外国语言文学,502
英语（含翻译专业）,外国语言文学,502
英语（免费师范）,外国语言文学,502
英语（招英语考生）（按外国语言文学类培养）,外国语言文学,502
英语(英日),外国语言文学,502
英语（英日）,外国语言文学,502
英语(英语类),外国语言文学,502
英语（国际贸易）,外国语言文学,502
英语（国家专项）,外国语言文学,502
英语（国家专项计划）,外国语言文学,502
英语（国家贫困专项）,外国语言文学,502
英语（单列）,外国语言文学,502
英语（单列类）,外国语言文学,502
英语（宝山校区）,外国语言文学,502
英语(按外国语言文学类培养),外国语言文学,502
英语（按外国语言文学类培养）,外国语言文学,502
英语(南单文）,外国语言文学,502
英语(南单理）,外国语言文学,502
英语（高校专项）,外国语言文学,502
英语（涉外法商）,外国语言文学,502
英语（预科）,外国语言文学,502
英语（理）,外国语言文学,502
英语（理工）,外国语言文学,502
英语（教育）,外国语言文学,502
英语(商务),外国语言文学,502
英语（商务）,外国语言文学,502
英语(商务英语),外国语言文学,502
英语（商务英语),外国语言文学,502
英语（商务英语）,外国语言文学,502
英语（普通类）,外国语言文学,502
英语（零起点）,外国语言文学,502
英语(零起点),外国语言文学,502
英语（翻译方向）,外国语言文学,502
英语【英语、翻译】,外国语言文学,502
英语类,外国语言文学,502
林业工程类,林业工程,829
林业工程类(成栋班),林业工程,829
林产化工,林业工程,829
林学,林学,907
林学类,林学,907
林学类(成栋实验班),林学,907
林学类（含林学、森林保护专业）,林学,907
矿业类,矿业工程,819
矿物加工工程,矿业工程,819
矿物加工工程 ,矿业工程,819
矿物加工工程（地矿）,矿业工程,819
矿物加工工程（地矿专业）,矿业工程,819
矿物加工工程(地矿专业),矿业工程,819
矿物加工工程（宝玉石学）,矿业工程,819
矿物加工工程(提前批),矿业工程,819
矿物加工工程（提前批）,矿业工程,819
矿物加工工程??,矿业工程,819
矿物资源工程,矿业工程,819
轮机工程（陆上专业）,船舶与海洋工程,824
软件工程,计算机科学与技术,812
软件工程（中外合作办学 中爱）,计算机科学与技术,812
软件工程（中外合作办学）,计算机科学与技术,812
软件工程(中外合作办学),计算机科学与技术,812
软件工程（双语类）,计算机科学与技术,812
软件工程（含网络工程专业）,计算机科学与技术,812
软件工程（含软件工程、数字媒体技术）,计算机科学与技术,812
软件工程(软件工程类),计算机科学与技术,812
软件工程（单列）,计算机科学与技术,812
软件工程（单列类）,计算机科学与技术,812
软件工程(定向),计算机科学与技术,812
软件工程（移动互联网方向）,计算机科学与技术,812
软件工程（厦门大学马来西亚分校）,计算机科学与技术,812
软件工程（嵌入式培养）,计算机科学与技术,812
软件工程(嵌入式培养),计算机科学与技术,812
软件工程（普通类）,计算机科学与技术,812
软件工程【软件工程、网络工程】,计算机科学与技术,812
软件工程专业（中外合作办学）,计算机科学与技术,812
非织造材料与工程,纺织科学与工程,821
国民经济管理,应用经济学,202
国民经济管理（中外合作办学）,应用经济学,202
国际事务与国际关系,政治学,302
国际经济与贸易,应用经济学,202
国际经济与贸易（五年）,应用经济学,202
国际经济与贸易（日语）,应用经济学,202
国际经济与贸易（中外合作办学）,应用经济学,202
国际经济与贸易（文）,应用经济学,202
国际经济与贸易（文史）,应用经济学,202
国际经济与贸易（文科）,应用经济学,202
国际经济与贸易（双语实验班）,应用经济学,202
国际经济与贸易(民),应用经济学,202
国际经济与贸易（国际金融与投资）,应用经济学,202
国际经济与贸易（单列类）,应用经济学,202
国际经济与贸易（理）,应用经济学,202
国际经济与贸易（理工）,应用经济学,202
